Date,Academic_Break,Closed,Fully_Open,Partially_Open,Total
2020-08-29,121,29,41,19,210
2020-08-30,119,30,41,20,210
2020-08-31,118,31,43,18,210
2020-09-01,74,39,64,33,210
2020-09-02,72,39,66,33,210
2020-09-03,72,39,66,33,210
2020-09-04,72,39,66,33,210
2020-09-05,70,39,67,34,210
2020-09-06,68,39,67,36,210
2020-09-07,48,41,77,44,210
2020-09-08,44,41,79,46,210
2020-09-09,42,41,80,47,210
2020-09-10,42,41,81,46,210
2020-09-11,42,41,81,46,210
2020-09-12,42,41,82,45,210
2020-09-13,41,40,82,47,210
2020-09-14,33,39,90,48,210
2020-09-15,26,38,94,52,210
2020-09-16,24,40,94,52,210
2020-09-17,23,41,95,51,210
2020-09-18,23,41,95,51,210
2020-09-19,23,41,95,51,210
2020-09-20,23,41,95,51,210
2020-09-21,20,40,96,54,210
2020-09-22,20,40,97,53,210
2020-09-23,20,40,97,53,210
2020-09-24,20,40,97,53,210
2020-09-25,20,40,97,53,210
2020-09-26,21,40,96,53,210
2020-09-27,21,40,95,54,210
2020-09-28,18,41,96,55,210
2020-09-29,18,41,96,55,210
2020-09-30,18,41,96,55,210
2020-10-01,13,36,100,61,210
2020-10-02,13,36,100,61,210
2020-10-03,13,36,101,60,210
2020-10-04,13,36,102,59,210
2020-10-05,9,32,106,63,210
2020-10-06,9,31,107,63,210
2020-10-07,9,30,107,64,210
2020-10-08,9,30,107,64,210
2020-10-09,9,31,107,63,210
2020-10-10,8,31,109,62,210
2020-10-11,8,31,109,62,210
2020-10-12,7,29,112,62,210
2020-10-13,7,29,112,62,210
2020-10-14,7,29,112,62,210
2020-10-15,6,27,114,63,210
2020-10-16,7,27,113,63,210
2020-10-17,8,27,112,63,210
2020-10-18,8,27,112,63,210
2020-10-19,9,26,112,63,210
2020-10-20,9,25,112,64,210
2020-10-21,8,25,112,65,210
2020-10-22,8,25,112,65,210
2020-10-23,8,25,112,65,210
2020-10-24,9,25,111,65,210
2020-10-25,10,24,110,66,210
2020-10-26,9,27,110,64,210
2020-10-27,9,27,109,65,210
2020-10-28,9,28,110,63,210
2020-10-29,9,28,110,63,210
2020-10-30,10,28,109,63,210
2020-10-31,11,27,109,63,210
2020-11-01,10,27,110,63,210
2020-11-02,8,27,113,62,210
2020-11-03,8,28,112,62,210
2020-11-04,8,28,113,61,210
2020-11-05,9,28,113,60,210
2020-11-06,9,28,113,60,210
2020-11-07,9,28,113,60,210
2020-11-08,9,28,113,60,210
2020-11-09,8,28,114,60,210
2020-11-10,7,28,115,60,210
2020-11-11,6,28,114,62,210
2020-11-12,5,28,115,62,210
2020-11-13,4,28,115,63,210
2020-11-14,4,28,115,63,210
2020-11-15,3,28,115,64,210
2020-11-16,3,30,114,63,210
2020-11-17,3,32,114,61,210
2020-11-18,3,31,114,62,210
2020-11-19,3,31,114,62,210
2020-11-20,3,31,114,62,210
2020-11-21,5,31,112,62,210
2020-11-22,5,30,112,63,210
2020-11-23,6,29,112,63,210
2020-11-24,6,29,112,63,210
2020-11-25,6,29,112,63,210
2020-11-26,6,30,111,63,210
2020-11-27,6,31,111,62,210
2020-11-28,6,31,111,62,210
2020-11-29,6,30,111,63,210
2020-11-30,8,28,110,64,210
2020-12-01,13,27,109,61,210
2020-12-02,13,27,109,61,210
2020-12-03,13,27,108,62,210
2020-12-04,15,28,105,62,210
2020-12-05,16,28,104,62,210
2020-12-06,16,28,104,62,210
2020-12-07,16,28,104,62,210
2020-12-08,16,28,104,62,210
2020-12-09,16,28,103,63,210
2020-12-10,18,27,102,63,210
2020-12-11,27,27,99,57,210
2020-12-12,31,27,96,56,210
2020-12-13,36,27,94,53,210
2020-12-14,40,26,92,52,210
2020-12-15,41,26,92,51,210
2020-12-16,43,25,89,53,210
2020-12-17,45,25,88,52,210
2020-12-18,77,23,68,42,210
2020-12-19,95,21,54,40,210
2020-12-20,98,20,53,39,210
2020-12-21,116,20,41,33,210
2020-12-22,121,18,41,30,210
2020-12-23,137,14,34,25,210
2020-12-24,145,13,31,21,210
2020-12-25,155,10,25,20,210
2020-12-26,157,10,23,20,210
2020-12-27,158,10,22,20,210
2020-12-28,160,10,20,20,210
2020-12-29,160,10,20,20,210
2020-12-30,161,10,20,19,210
2020-12-31,164,8,20,18,210
2021-01-01,172,7,17,14,210
2021-01-02,170,7,17,16,210
2021-01-03,164,8,19,19,210
2021-01-04,117,15,42,36,210
2021-01-05,84,26,55,45,210
2021-01-06,82,27,56,45,210
2021-01-07,72,33,59,46,210
2021-01-08,66,36,62,46,210
2021-01-09,66,36,62,46,210
2021-01-10,65,36,63,46,210
2021-01-11,48,38,72,52,210
2021-01-12,44,40,74,52,210
2021-01-13,43,40,76,51,210
2021-01-14,43,40,75,52,210
2021-01-15,43,40,75,52,210
2021-01-16,44,40,75,51,210
2021-01-17,44,39,75,52,210
2021-01-18,39,40,77,54,210
2021-01-19,37,41,77,55,210
2021-01-20,36,41,77,56,210
2021-01-21,36,41,76,57,210
2021-01-22,37,41,75,57,210
2021-01-23,40,40,74,56,210
2021-01-24,40,40,74,56,210
2021-01-25,33,40,80,57,210
2021-01-26,34,36,81,59,210
2021-01-27,33,36,81,60,210
2021-01-28,34,36,79,61,210
2021-01-29,34,36,80,60,210
2021-01-30,35,36,79,60,210
2021-01-31,35,36,79,60,210
2021-02-01,22,38,88,62,210
